nombre;tipo;asunto
Círculo de Empresarios;Business association;business
Confederación Española de Jóvenes Empresarios;Business association;business
Confederación Española de Organizaciones Empresariales;Business association;business
Confederación Empresarial Española Economía Social;Business association;business
Confederación Española Pequeña y Mediana Empresa;Business association;business
Unión Española de Entidades Aseguradoras y Reaseguradoras;Business association;business
Confederación Española de Comercio ;Business association;business
Cámara de Comercio de España;Business association;business
Unión Española Fotovoltaica;Business association;energy
Fundación IDIS;Business association;health
Alianza de la Sanidad Privada Española;Business association;health
Confederación Española de Hoteles y Alojamientos Turísticos;Business association;hostelry
Asociación de Empresas Constructoras y Concesionarias de Infraestructuras;Business association;industry
Save the Children;NGO;childhood
Fondo Internacional de Emergencia de las Naciones Unidas para la Infancia;NGO;childhood
Fundación ANAR (ayuda a niños y adolescentes en riesgo);NGO;childhood
Plataforma de Infancia;NGO;childhood
Asociación de Municipios afectados por Centrales Nucleares;NGO;energy
Ecologistas en Acción;NGO;environment
Amigos de la Tierra;NGO;environment
Greenpeace España;NGO;environment
World Wildlife Fund;NGO;environment
Sociedad Española de Ornitología;NGO;environment
Fundación Ecología y Desarrollo;NGO;environment
Fundación de Ayuda contra la Drogadicción;NGO;health
Medicos del mundo;NGO;health
Organización Nacional de Trasplantes;NGO;health
Alto Comisionado de las Naciones Unidas para los Refugiados;NGO;human rights
Amnistía Internacional;NGO;human rights
Comisión Española de Ayuda al Refugiado;NGO;human rights
Human Rights Watch;NGO;human rights
Observatorio de Multinacionales en América Latina ;NGO;human rights
Juezas y Jueces para la Democracia;NGO;justice
Cáritas;NGO;poverty
Cruz Roja Española;NGO;poverty
Intermon-Oxfam;NGO;poverty
European Anti Poverty Network ;NGO;poverty
Asociación por la Tasación de las Transacciones financieras y por la Acción Ciudadana;NGO;social justice
Servicio al Tercer Mundo;NGO;social justice
Autoridad Independiente de Responsabilidad Fiscal;NGO;social justice
Asociación para la Prevención  Reinserción y Atención a la Mujer Prostituta ;NGO;women
Confederación Empresarial de Hostelería de España;Special interest organization;business
Fundación COTEC;Special interest organization;business
Unión de Asociaciones de Trabajadores Autónomos y Emprendedores ;Special interest organization;business
Asociación de Bioempresas ASEBIO;Special interest organization;business
Asociación Española de Distribuidores Autoservicios y Supermercados;Special interest organization;business
FACUA-Consumidores en Acción;Special interest organization;consumer
Organización de Consumidores y Usuarios;Special interest organization;consumer
Unión de Consumidores de España;Special interest organization;consumer
Autoræs de Teatro;Special interest organization;culture
Federación estatal de empresas de teatro y danza;Special interest organization;culture
Asociación de autores y editores de libros, revistas, periódicos y partituras;Special interest organization;culture
Comité Español de Representantes de Personas con Discapacidad;Special interest organization;disability
Organización Nacional de Ciegos Españoles;Special interest organization;disability
Confederación Estatal de Asociaciones de Estudiantes;Special interest organization;education
Confederación Española de Asociaciones de Padres y Madres de Alumnos;Special interest organization;education
Confederación Católica Nacional de Padres de Familia y Padres de Alumnos;Special interest organization;education
Federación de Asociaciones de Personas Mayores de Cataluña;Special interest organization;elderly
Asociación de Empresas y Servicios para la Dependencia ;Special interest organization;elderly
Asociación de Productores de Energías Renovables;Special interest organization;energy
Fundación Renovables;Special interest organization;energy
Asociación de Empresas con Gran Consumo de Energía Eléctrica;Special interest organization;energy
Grupo Español de Crecimiento Verde;Special interest organization;environment
Coordinadora de Organizaciones de Agricultores y Ganaderos;Special interest organization;farmers
Confederación de Cooperativas Agrarias de España;Special interest organization;farmers
Red Española de Desarrollo Rural;Special interest organization;farmers
Asociación Apadrina un olivo;Special interest organization;farmers
Unión de Uniones de Agricultores y Ganaderos;Special interest organization;farmers
Asociación Española de Banca;Special interest organization;finance
Confederación Española de Cajas de Ahorro;Special interest organization;finance
Asociación Española de Prevención de Accidentes de Tráfico;Special interest organization;health
Federación Empresarial de Farmacéuticos Españoles;Special interest organization;health
Federación Española de Jugadores de Azar Rehabilitados;Special interest organization;health
Federación Española de Empresas de Tecnología Sanitaria;Special interest organization;health
Marea Blanca Estatal;Special interest organization;health
Sociedad Española de Salud Pública y Administración Sanitaria;Special interest organization;health
Sociedad Española de Enfermedades Infecciosas y Microbiología Clínica ;Special interest organization;health
Consejo General de Colegios Oficiales de Farmacéuticos;Special interest organization;health
 Sociedad Española de Medicina Familiar y Comunitaria ;Special interest organization;health
Círculo Empresarial de Atención a Personas;Special interest organization;health
 Federación de Asociaciones en Defensa de la Sanidad Pública;Special interest organization;health
Euro-Toques Comunidad Europea de Cocineros;Special interest organization;hostelry
Federación de Cocineros y Reposteros de España;Special interest organization;hostelry
Federación Española de Viviendas y Apartamentos Turísticos;Special interest organization;hostelry
Federación Española de Industrias de la Alimentación y Bebidas;Special interest organization;hostelry
Asociación Empresarial Marcas de Restauración;Special interest organization;hostelry
Asociación Corporativa de Agencias de Viajes especializadas;Special interest organization;hostelry
Plataforma de Afectados por las Hipotecas;Special interest organization;housing
Sindicato de Inquilinos e Inquilinas ;Special interest organization;housing
Asociación Española de Fabricantes de Automóviles y Camiones;Special interest organization;industry
Asociación Empresarial del Comercio Textil Complementos y Piel;Special interest organization;industry
Federación Empresarial del Metal ;Special interest organization;industry
Federación Empresarial de la Industria Química Española ;Special interest organization;industry
Marea Pensionista;Special interest organization;labour
COLECTIVO LGTB+ DE MADRID;Special interest organization;lgtbi
Federación de Lesbianas, Gays, Transexuales y Bisexuales;Special interest organization;lgtbi
Hazte Oir;Special interest organization;lgtbi
Fundación Secretariado Gitano;Special interest organization;race
Europa Laica;Special interest organization;religious
Asociación de Directoras y Gerentes de Servicios Sociales;Special interest organization;social
Asociación del Deporte Español;Special interest organization;sports
Federación Española de Municipios y Provincias;Special interest organization;territory
Consejo Federal Español del Movimiento Europeo;Special interest organization;territory
 Red de Áreas Escasamente Pobladas de Europa ;Special interest organization;territory
Asociación Víctimas del Terrorismo;Special interest organization;victims
Federación de Asociaciones de Mujeres Separadas y Divorciadas;Special interest organization;women
Federación Estatal de Organizaciones Feministas;Special interest organization;women
Federación de Mujeres Progresistas;Special interest organization;women
Asociación de Mujeres Juristas THEMIS;Special interest organization;women
Mujeres en Igualdad;Special interest organization;women
Consejo de la Juventud de España;Special interest organization;youth
Unión de Actores;Union;culture
Sindicato de artistas líricos;Union;culture
Asociación Nacional de Profesionales de la Enseñanza ;Union;education
Sindicato de Estudiantes;Union;education
Confederación de Sindicatos de Trabajadores Enseñanza;Union;education
Confederación Estatal de Sindicatos Médicos;Union;health
Sindicato de Técnicos de Enfermería;Union;health
Sindicato de Asistentes Técnico-Sanitarios de España;Union;health
Comisiones Obreras;Union;labour
Confederación General del Trabajo;Union;labour
Confederación Sindical Independiente de Funcionarios;Union;labour
Sindicato Unificado de Policía;Union;labour
Unión general de Trabajadores;Union;labour
Unión Sindical Obrera;Union;labour
Asociación de Directores de Escena de España;Professional organization;culture
Asociación de técnicos del espectáculo;Professional organization;culture
Federación de músicos asociados;Professional organization;culture
Asociación de Músicos Profesionales de España;Professional organization;culture
Asociación Agraria de Jóvenes Agricultores;Professional organization;farmers
Uniónde Pequeños Agricultores y Ganaderos;Professional organization;farmers
Consejo General de Colegios Oficiales de Médicos;Professional organization;health
Consejo General de Colegios Oficiales de Enfermería ;Professional organization;health
Las Kellys;Professional organization;hostelry
Colegio Oficial de Ingenieros Aeronáuticos de España;Professional organization;industry
Asociación Profesional Magistratura;Professional organization;justice
Consejo General Abogacía;Professional organization;justice
Asociaciones de Trabajadores Autónomos;Professional organization;labour
Unión de profesionales y trabajadores autónomos;Professional organization;labour
Consejo General del Trabajo Social;Professional organization;social
